"otu"	"tax"	"sim"
"26945"	"SCOR.D2.10m.DNA_489025"	23633	99.52
"26985"	"SCOR.D2.10m.DNA_489065"	23633	98.33
"26994"	"SCOR.D2.10m.DNA_489074"	23633	99.37
"27025"	"SCOR.D2.10m.DNA_489105"	41856	99.79
"27040"	"SCOR.D2.10m.DNA_489119"	41856	99.58
"27103"	"SCOR.D2.10m.DNA_489180"	41856	99.58
"27133"	"SCOR.D2.10m.DNA_489210"	41856	100
"27145"	"SCOR.D2.10m.DNA_489222"	10939	98.18
"27167"	"SCOR.D2.10m.DNA_489245"	41856	99.79
"27230"	"SCOR.D2.10m.DNA_489304"	23633	99.79
"27232"	"SCOR.D2.10m.DNA_489306"	23633	99.58
"27291"	"SCOR.D2.10m.DNA_489364"	41856	100
"27293"	"SCOR.D2.10m.DNA_489366"	23633	99.37
"27304"	"SCOR.D2.10m.DNA_489377"	23633	99.58
"27305"	"SCOR.D2.10m.DNA_489378"	4362	99.17
"27312"	"SCOR.D2.10m.DNA_489386"	10939	98.58
"27313"	"SCOR.D2.10m.DNA_489387"	41856	100
"27319"	"SCOR.D2.10m.DNA_489393"	10939	96.99
"27342"	"SCOR.D2.10m.DNA_489416"	41856	100
"27346"	"SCOR.D2.10m.DNA_489421"	35162	98.91
"27348"	"SCOR.D2.10m.DNA_489423"	41856	99.79
"27363"	"SCOR.D2.10m.DNA_489438"	41856	99.79
"27370"	"SCOR.D2.10m.DNA_489444"	41856	100
"27430"	"SCOR.D2.10m.DNA_489503"	41856	99.16
"27435"	"SCOR.D2.10m.DNA_489508"	12385	98.35
"27444"	"SCOR.D2.10m.DNA_489517"	41856	99.78
"27537"	"SCOR.D2.10m.DNA_489609"	32070	98.61
"27538"	"SCOR.D2.10m.DNA_489610"	23633	98.95
"27540"	"SCOR.D2.10m.DNA_489612"	23633	99.58
"27556"	"SCOR.D2.10m.DNA_489628"	23633	98.53
"27561"	"SCOR.D2.10m.DNA_489632"	41856	99.79
"27582"	"SCOR.D2.10m.DNA_489650"	41856	99.09
"27598"	"SCOR.D2.10m.DNA_489665"	41856	99.37
"27641"	"SCOR.D2.10m.DNA_489706"	41856	100
"27703"	"SCOR.D2.10m.DNA_489763"	41856	99.58
"27710"	"SCOR.D2.10m.DNA_489770"	41856	100
"27722"	"SCOR.D2.10m.DNA_489781"	41856	99.76
"27736"	"SCOR.D2.10m.DNA_489792"	32070	98.2
"27759"	"SCOR.D2.10m.DNA_489814"	23633	98.96
"27790"	"SCOR.D2.10m.DNA_489845"	41856	99.37
"27792"	"SCOR.D2.10m.DNA_489847"	27885	98.2
"27798"	"SCOR.D2.10m.DNA_489853"	41856	99.58
"27806"	"SCOR.D2.10m.DNA_489861"	41856	99.79
"27827"	"SCOR.D2.10m.DNA_489882"	41856	99.79
"27883"	"SCOR.D2.10m.DNA_489938"	10557	95.54
"27905"	"SCOR.D2.10m.DNA_489960"	22164	99.54
"27949"	"SCOR.D2.10m.DNA_490006"	41856	99.37
"27959"	"SCOR.D2.10m.DNA_490015"	23633	98.95
"27980"	"SCOR.D2.10m.DNA_490035"	23633	97.68
"28020"	"SCOR.D2.10m.DNA_490074"	27885	98.8
"28024"	"SCOR.D2.10m.DNA_490078"	41856	100
"28025"	"SCOR.D2.10m.DNA_490079"	41856	99.79
"28032"	"SCOR.D2.10m.DNA_490086"	41856	99.79
"28034"	"SCOR.D2.10m.DNA_490088"	41856	100
"28036"	"SCOR.D2.10m.DNA_490090"	23633	99.37
"28038"	"SCOR.D2.10m.DNA_490092"	27885	98.55
"28048"	"SCOR.D2.10m.DNA_490101"	10557	95.96
"28056"	"SCOR.D2.10m.DNA_490109"	23633	99.37
"28078"	"SCOR.D2.10m.DNA_490130"	41856	100
"28103"	"SCOR.D2.10m.DNA_490155"	41856	100
"28113"	"SCOR.D2.10m.DNA_490164"	23633	99.58
"28117"	"SCOR.D2.10m.DNA_490168"	10557	95.74
"28129"	"SCOR.D2.10m.DNA_490180"	41856	99.58
"28133"	"SCOR.D2.10m.DNA_490184"	35162	99.6
"28167"	"SCOR.D2.10m.DNA_490218"	23633	98.09
"28236"	"SCOR.D2.10m.DNA_490284"	30591	100
"28250"	"SCOR.D2.10m.DNA_490298"	23633	99.16
"28274"	"SCOR.D2.10m.DNA_490319"	23633	99.58
"28275"	"SCOR.D2.10m.DNA_490320"	41856	100
"28313"	"SCOR.D2.10m.DNA_490358"	41856	100
"28341"	"SCOR.D2.10m.DNA_490386"	41856	99.79
"28351"	"SCOR.D2.10m.DNA_490396"	41856	99.79
"28356"	"SCOR.D2.10m.DNA_490401"	23633	99.58
"28376"	"SCOR.D2.10m.DNA_490420"	4362	99.17
"28378"	"SCOR.D2.10m.DNA_490422"	41856	100
"28405"	"SCOR.D2.10m.DNA_490447"	41856	99.37
"28414"	"SCOR.D2.10m.DNA_490456"	41856	99.37
"28438"	"SCOR.D2.10m.DNA_490479"	41856	100
"28450"	"SCOR.D2.10m.DNA_490491"	23633	99.37
"28492"	"SCOR.D2.10m.DNA_490530"	23633	99.14
"28494"	"SCOR.D2.10m.DNA_490532"	41856	100
"28530"	"SCOR.D2.10m.DNA_490567"	10557	95.74
"28549"	"SCOR.D2.10m.DNA_490586"	39646	98.79
"28592"	"SCOR.D2.10m.DNA_490630"	41856	99.58
"28633"	"SCOR.D2.10m.DNA_490668"	10557	95.96
"28638"	"SCOR.D2.10m.DNA_490673"	41856	100
"28690"	"SCOR.D2.10m.DNA_490723"	23633	99.37
"28693"	"SCOR.D2.10m.DNA_490726"	23633	97.14
"28702"	"SCOR.D2.10m.DNA_490735"	41856	99.58
"28707"	"SCOR.D2.10m.DNA_490740"	41856	99.79
"28783"	"SCOR.D2.10m.DNA_490813"	10557	95.74
"28785"	"SCOR.D2.10m.DNA_490815"	41856	99.58
"28787"	"SCOR.D2.10m.DNA_490817"	23633	98.53
"28855"	"SCOR.D2.10m.DNA_490882"	10939	98.38
"28858"	"SCOR.D2.10m.DNA_490885"	41856	100
"28859"	"SCOR.D2.10m.DNA_490886"	23633	98.83
"28864"	"SCOR.D2.10m.DNA_490891"	41856	99.37
"28888"	"SCOR.D2.10m.DNA_490915"	41856	100
"28903"	"SCOR.D2.10m.DNA_490930"	41856	100
"28915"	"SCOR.D2.10m.DNA_490942"	23633	99.58
"28936"	"SCOR.D2.10m.DNA_490963"	41856	99.79
"28938"	"SCOR.D2.10m.DNA_490965"	41856	100
"28950"	"SCOR.D2.10m.DNA_490977"	41856	98.95
"28951"	"SCOR.D2.10m.DNA_490978"	41856	100
"28981"	"SCOR.D2.10m.DNA_491007"	23633	98.75
"29003"	"SCOR.D2.10m.DNA_491029"	10939	98.38
"29058"	"SCOR.D2.10m.DNA_491084"	41856	100
"29070"	"SCOR.D2.10m.DNA_491096"	41856	99.79
"29087"	"SCOR.D2.10m.DNA_491113"	23633	97.92
"29118"	"SCOR.D2.10m.DNA_491142"	23633	98.11
"29124"	"SCOR.D2.10m.DNA_491148"	41856	100
"29125"	"SCOR.D2.10m.DNA_491149"	10202	97.7
"29146"	"SCOR.D2.10m.DNA_491170"	23633	99.37
"29156"	"SCOR.D2.10m.DNA_491179"	10557	95.74
"29169"	"SCOR.D2.10m.DNA_491191"	41856	100
"29170"	"SCOR.D2.10m.DNA_491192"	10939	97.79
"29194"	"SCOR.D2.10m.DNA_491215"	41856	99.79
"29199"	"SCOR.D2.10m.DNA_491219"	23633	98.73
"29206"	"SCOR.D2.10m.DNA_491225"	23633	99.57
"29265"	"SCOR.D2.10m.DNA_491282"	23633	99.16
"29292"	"SCOR.D2.10m.DNA_491309"	23633	98.32
"29310"	"SCOR.D2.10m.DNA_491326"	41856	99.37
"29320"	"SCOR.D2.10m.DNA_491337"	35162	99.2
"29325"	"SCOR.D2.10m.DNA_491342"	32070	98.59
"29343"	"SCOR.D2.10m.DNA_491360"	41856	100
"29355"	"SCOR.D2.10m.DNA_491370"	30591	100
"29356"	"SCOR.D2.10m.DNA_491371"	35162	99.59
"29365"	"SCOR.D2.10m.DNA_491380"	23633	98.32
"29373"	"SCOR.D2.10m.DNA_491388"	41856	100
"29382"	"SCOR.D2.10m.DNA_491397"	23633	99.58
"29486"	"SCOR.D2.10m.DNA_491499"	23633	98.53
"29487"	"SCOR.D2.10m.DNA_491500"	12385	98.96
"29492"	"SCOR.D2.10m.DNA_491505"	41856	99.58
"29505"	"SCOR.D2.10m.DNA_491518"	23633	97.48
"29558"	"SCOR.D2.10m.DNA_491570"	35162	99.18
"29561"	"SCOR.D2.10m.DNA_491573"	10557	95.54
"29562"	"SCOR.D2.10m.DNA_491574"	41856	100
"29576"	"SCOR.D2.10m.DNA_491588"	23633	98.33
"29582"	"SCOR.D2.10m.DNA_491594"	10557	95.74
"29608"	"SCOR.D2.10m.DNA_491619"	41856	99.79
"29613"	"SCOR.D2.10m.DNA_491624"	23633	98.11
"29648"	"SCOR.D2.10m.DNA_491659"	41856	99.37
"29685"	"SCOR.D2.10m.DNA_491696"	23633	99.58
"29698"	"SCOR.D2.10m.DNA_491709"	41856	100
"29701"	"SCOR.D2.10m.DNA_491712"	41856	99.79
"29703"	"SCOR.D2.10m.DNA_491714"	35162	98.77
"29722"	"SCOR.D2.10m.DNA_491734"	23633	99.58
"29797"	"SCOR.D2.10m.DNA_491807"	23633	99.58
"29848"	"SCOR.D2.10m.DNA_491856"	10939	98.59
"29850"	"SCOR.D2.10m.DNA_491858"	23633	99.79
"29852"	"SCOR.D2.10m.DNA_491860"	41856	100
"29858"	"SCOR.D2.10m.DNA_491866"	41856	100
"29888"	"SCOR.D2.10m.DNA_491895"	23633	99.16
"29892"	"SCOR.D2.10m.DNA_491899"	23633	99.79
"29914"	"SCOR.D2.10m.DNA_491920"	23633	99.16
"29934"	"SCOR.D2.10m.DNA_491940"	4362	99.17
"29986"	"SCOR.D2.10m.DNA_491991"	26650	98.69
"30003"	"SCOR.D2.10m.DNA_492007"	23633	98.74
"30009"	"SCOR.D2.10m.DNA_492012"	41856	100
"30016"	"SCOR.D2.10m.DNA_492019"	23633	97.9
"30048"	"SCOR.D2.10m.DNA_492049"	35162	99.4
"30061"	"SCOR.D2.10m.DNA_492061"	41856	99.79
"30077"	"SCOR.D2.10m.DNA_492077"	23633	99.37
"30099"	"SCOR.D2.10m.DNA_492099"	23633	99.37
"30125"	"SCOR.D2.10m.DNA_492123"	23633	96.86
"30131"	"SCOR.D2.10m.DNA_492129"	23633	99.37
"30164"	"SCOR.D2.10m.DNA_492161"	10557	95.74
"30173"	"SCOR.D2.10m.DNA_492169"	23633	98.5
"30176"	"SCOR.D2.10m.DNA_492172"	10939	98.38
"30182"	"SCOR.D2.10m.DNA_492179"	41856	99.58
"30239"	"SCOR.D2.10m.DNA_492232"	41856	99.79
"30272"	"SCOR.D2.10m.DNA_492261"	23633	98.95
"30282"	"SCOR.D2.10m.DNA_492271"	27885	98.02
"30337"	"SCOR.D2.10m.DNA_492326"	41856	99.79
"30345"	"SCOR.D2.10m.DNA_492334"	23633	96.27
"30353"	"SCOR.D2.10m.DNA_492342"	10939	98.19
"30384"	"SCOR.D2.10m.DNA_492373"	10557	95.96
"30413"	"SCOR.D2.10m.DNA_492402"	41856	100
"30420"	"SCOR.D2.10m.DNA_492409"	41856	100
"30426"	"SCOR.D2.10m.DNA_492415"	10557	95.54
"30433"	"SCOR.D2.10m.DNA_492422"	10939	98.18
"30434"	"SCOR.D2.10m.DNA_492423"	41856	99.58
"30446"	"SCOR.D2.10m.DNA_492435"	10557	95.55
"30461"	"SCOR.D2.10m.DNA_492450"	41856	100
"30485"	"SCOR.D2.10m.DNA_492474"	23633	99.1
"30511"	"SCOR.D2.10m.DNA_492500"	10557	95.96
"30526"	"SCOR.D2.10m.DNA_492515"	23633	99.37
"30543"	"SCOR.D2.10m.DNA_492531"	23633	99.37
"30598"	"SCOR.D2.10m.DNA_492585"	41856	98.52
"30600"	"SCOR.D2.10m.DNA_492587"	10939	98.19
"30624"	"SCOR.D2.10m.DNA_492611"	10557	95.54
"30635"	"SCOR.D2.10m.DNA_492621"	41856	99.79
"30636"	"SCOR.D2.10m.DNA_492622"	10557	95.74
"30639"	"SCOR.D2.10m.DNA_492625"	10557	95.96
"30651"	"SCOR.D2.10m.DNA_492637"	41856	100
"30660"	"SCOR.D2.10m.DNA_492646"	27885	98.8
"30665"	"SCOR.D2.10m.DNA_492651"	10939	98.59
"30711"	"SCOR.D2.10m.DNA_492695"	23633	98.94
"30723"	"SCOR.D2.10m.DNA_492707"	10939	97.98
"30743"	"SCOR.D2.10m.DNA_492727"	41856	100
"30766"	"SCOR.D2.10m.DNA_492749"	41856	99.79
"30768"	"SCOR.D2.10m.DNA_492751"	41856	99.79
"30787"	"SCOR.D2.10m.DNA_492770"	10557	95.96
"30796"	"SCOR.D2.10m.DNA_492779"	23633	97.48
"30797"	"SCOR.D2.10m.DNA_492780"	41856	100
"30798"	"SCOR.D2.10m.DNA_492781"	41856	99.58
"30801"	"SCOR.D2.10m.DNA_492784"	41856	99.37
"30804"	"SCOR.D2.10m.DNA_492787"	41856	99.58
"30870"	"SCOR.D2.10m.DNA_492847"	23633	99.16
"30887"	"SCOR.D2.10m.DNA_492864"	41856	100
"30889"	"SCOR.D2.10m.DNA_492866"	10557	95.91
"30904"	"SCOR.D2.10m.DNA_492880"	41856	100
"30907"	"SCOR.D2.10m.DNA_492883"	41856	99.79
"30912"	"SCOR.D2.10m.DNA_492888"	35162	98.8
"30937"	"SCOR.D2.10m.DNA_492912"	27885	98.59
"30938"	"SCOR.D2.10m.DNA_492913"	10557	95.49
"30948"	"SCOR.D2.10m.DNA_492922"	41856	99.52
"30966"	"SCOR.D2.10m.DNA_492938"	4362	99.79
"30983"	"SCOR.D2.10m.DNA_492955"	23633	98.95
"30987"	"SCOR.D2.10m.DNA_492959"	41856	99.79
"31039"	"SCOR.D2.10m.DNA_493009"	23633	97.48
"31059"	"SCOR.D2.10m.DNA_493029"	27885	98.39
"31086"	"SCOR.D2.10m.DNA_493053"	10557	95.96
"31107"	"SCOR.D2.10m.DNA_493074"	23633	99.37
"31125"	"SCOR.D2.10m.DNA_493092"	41856	99.79
"31168"	"SCOR.D2.10m.DNA_493134"	41856	99.79
"31180"	"SCOR.D2.10m.DNA_493145"	10939	98.12
"31189"	"SCOR.D2.10m.DNA_493153"	32070	99.01
"31191"	"SCOR.D2.10m.DNA_493155"	23633	97.67
"31215"	"SCOR.D2.10m.DNA_493178"	41856	99.79
"31224"	"SCOR.D2.10m.DNA_493187"	23633	98.32
"31225"	"SCOR.D2.10m.DNA_493188"	32940	100
"31244"	"SCOR.D2.10m.DNA_493207"	41856	100
"31262"	"SCOR.D2.10m.DNA_493225"	12385	99.79
"31265"	"SCOR.D2.10m.DNA_493228"	41856	99.79
"31271"	"SCOR.D2.10m.DNA_493234"	41856	100
"31282"	"SCOR.D2.10m.DNA_493245"	10557	95.27
"31328"	"SCOR.D2.10m.DNA_493291"	2274	98.63
"31400"	"SCOR.D2.10m.DNA_493361"	23633	99.58
"31429"	"SCOR.D2.10m.DNA_493390"	10557	95.96
"31430"	"SCOR.D2.10m.DNA_493391"	23633	98.95
"31444"	"SCOR.D2.10m.DNA_493404"	27885	98.59
"31467"	"SCOR.D2.10m.DNA_493427"	41856	100
"31488"	"SCOR.D2.10m.DNA_493448"	23633	99.79
"31494"	"SCOR.D2.10m.DNA_493453"	23633	98.52
"31515"	"SCOR.D2.10m.DNA_493472"	41856	99.16
"31522"	"SCOR.D2.10m.DNA_493479"	23633	97.89
"31532"	"SCOR.D2.10m.DNA_493489"	23633	98.67
"31535"	"SCOR.D2.10m.DNA_493492"	41856	99.37
"31560"	"SCOR.D2.10m.DNA_493517"	10557	95.74
"31573"	"SCOR.D2.10m.DNA_493530"	35162	99.39
"31585"	"SCOR.D2.10m.DNA_493541"	4362	99.35
"31599"	"SCOR.D2.10m.DNA_493555"	10557	95.96
"31617"	"SCOR.D2.10m.DNA_493573"	41856	100
"31687"	"SCOR.D2.10m.DNA_493641"	10939	98.38
"31694"	"SCOR.D2.10m.DNA_493648"	41856	98.84
"31706"	"SCOR.D2.10m.DNA_493659"	32070	98.55
"31710"	"SCOR.D2.10m.DNA_493663"	10557	95.96
"31746"	"SCOR.D2.10m.DNA_493698"	23633	99.58
"31753"	"SCOR.D2.10m.DNA_493705"	41856	100
"31765"	"SCOR.D2.10m.DNA_493717"	41856	100
"31767"	"SCOR.D2.10m.DNA_493719"	22164	99.54
"31770"	"SCOR.D2.10m.DNA_493722"	22164	99.29
"31777"	"SCOR.D2.10m.DNA_493729"	23633	98.12
"31797"	"SCOR.D2.10m.DNA_493750"	41856	99.16
"31806"	"SCOR.D2.10m.DNA_493758"	10939	98.19
"31815"	"SCOR.D2.10m.DNA_493766"	23633	99.58
"31821"	"SCOR.D2.10m.DNA_493772"	41856	99.58
"31827"	"SCOR.D2.10m.DNA_493778"	41856	100
"31834"	"SCOR.D2.10m.DNA_493786"	23633	98.11
"31837"	"SCOR.D2.10m.DNA_493789"	41856	99.58
"31853"	"SCOR.D2.10m.DNA_493805"	23633	99.37
"31859"	"SCOR.D2.10m.DNA_493810"	27885	98.39
"31895"	"SCOR.D2.10m.DNA_493845"	41856	99.37
"31911"	"SCOR.D2.10m.DNA_493861"	10557	95.75
"31926"	"SCOR.D2.10m.DNA_493876"	23633	98.75
"31927"	"SCOR.D2.10m.DNA_493877"	41856	99.58
"31932"	"SCOR.D2.10m.DNA_493882"	10939	98.18
"31940"	"SCOR.D2.10m.DNA_493889"	41856	99.58
"31941"	"SCOR.D2.10m.DNA_493890"	10557	95.96
"31946"	"SCOR.D2.10m.DNA_493895"	23633	98.12
"31947"	"SCOR.D2.10m.DNA_493896"	23633	99.37
"31972"	"SCOR.D2.10m.DNA_493921"	23633	98.32
"31974"	"SCOR.D2.10m.DNA_493923"	41856	99.79
"31994"	"SCOR.D2.10m.DNA_493943"	23633	98.74
"32008"	"SCOR.D2.10m.DNA_493956"	41856	100
"32026"	"SCOR.D2.10m.DNA_493973"	41856	99.58
"32039"	"SCOR.D2.10m.DNA_493985"	10557	95.11
"32041"	"SCOR.D2.10m.DNA_493987"	22164	99.04
"32044"	"SCOR.D2.10m.DNA_493990"	41856	100
"32055"	"SCOR.D2.10m.DNA_494001"	41856	99.79
"32063"	"SCOR.D2.10m.DNA_494008"	23633	98.95
"32079"	"SCOR.D2.10m.DNA_494024"	41856	99.79
"32101"	"SCOR.D2.10m.DNA_494043"	41856	99.79
"32126"	"SCOR.D2.10m.DNA_494068"	23633	98.32
"32134"	"SCOR.D2.10m.DNA_494076"	27885	97.8
"32146"	"SCOR.D2.10m.DNA_494088"	41856	100
"32154"	"SCOR.D2.10m.DNA_494096"	41856	100
"32166"	"SCOR.D2.10m.DNA_494109"	10939	98.19
"32206"	"SCOR.D2.10m.DNA_494149"	10939	98.57
"32242"	"SCOR.D2.10m.DNA_494185"	23633	99.37
"32250"	"SCOR.D2.10m.DNA_494193"	41856	99.57
"32252"	"SCOR.D2.10m.DNA_494195"	10557	95.55
"32253"	"SCOR.D2.10m.DNA_494196"	41856	99.79
"32298"	"SCOR.D2.10m.DNA_494240"	23633	98.95
"32303"	"SCOR.D2.10m.DNA_494245"	41856	100
"32316"	"SCOR.D2.10m.DNA_494258"	23633	98.54
"32327"	"SCOR.D2.10m.DNA_494269"	32070	98.41
"32346"	"SCOR.D2.10m.DNA_494288"	41856	99.79
"32419"	"SCOR.D2.10m.DNA_494354"	10557	95.96
"32433"	"SCOR.D2.10m.DNA_494368"	23633	98.54
"32454"	"SCOR.D2.10m.DNA_494388"	26650	98.39
"32461"	"SCOR.D2.10m.DNA_494394"	23633	98.32
"32462"	"SCOR.D2.10m.DNA_494395"	23633	96.56
"32472"	"SCOR.D2.10m.DNA_494405"	41856	100
"32479"	"SCOR.D2.10m.DNA_494412"	41856	99.76
"32485"	"SCOR.D2.10m.DNA_494418"	35162	99
"32490"	"SCOR.D2.10m.DNA_494423"	41856	99.58
"32500"	"SCOR.D2.10m.DNA_494433"	23633	98.12
"32512"	"SCOR.D2.10m.DNA_494445"	23633	99.58
"32530"	"SCOR.D2.10m.DNA_494463"	23633	99.58
"32537"	"SCOR.D2.10m.DNA_494470"	2274	98.29
"32542"	"SCOR.D2.10m.DNA_494475"	10557	95.96
"32546"	"SCOR.D2.10m.DNA_494479"	27885	98.19
"32577"	"SCOR.D2.10m.DNA_494506"	23633	98.29
"32587"	"SCOR.D2.10m.DNA_494516"	32070	98.81
"32593"	"SCOR.D2.10m.DNA_494522"	41856	100
"32603"	"SCOR.D2.10m.DNA_494532"	23633	97.9
"32618"	"SCOR.D2.10m.DNA_494548"	41856	100
"32625"	"SCOR.D2.10m.DNA_494555"	35162	99.17
"32637"	"SCOR.D2.10m.DNA_494567"	23633	98.53
"32703"	"SCOR.D2.10m.DNA_494632"	23633	99.16
"32708"	"SCOR.D2.10m.DNA_494637"	41856	95.78
"32714"	"SCOR.D2.10m.DNA_494643"	41856	100
"32756"	"SCOR.D2.10m.DNA_494683"	23633	98.5
"32776"	"SCOR.D2.10m.DNA_494703"	23633	98.95
"32786"	"SCOR.D2.10m.DNA_494713"	41856	99.37
"32787"	"SCOR.D2.10m.DNA_494714"	41856	99.16
"32807"	"SCOR.D2.10m.DNA_494734"	41856	100
"32820"	"SCOR.D2.10m.DNA_494747"	23633	98.95
"32828"	"SCOR.D2.10m.DNA_494755"	23633	98.32
"32874"	"SCOR.D2.10m.DNA_494800"	41856	99.16
"32876"	"SCOR.D2.10m.DNA_494802"	10939	98.18
"32892"	"SCOR.D2.10m.DNA_494818"	4362	99.38
"32900"	"SCOR.D2.10m.DNA_494825"	10939	98.52
"32906"	"SCOR.D2.10m.DNA_494831"	41856	99.79
"32928"	"SCOR.D2.10m.DNA_494852"	10939	98.19
"32940"	"SCOR.D2.10m.DNA_494864"	10939	98.19
"32946"	"SCOR.D2.10m.DNA_494870"	23633	98.11
"32948"	"SCOR.D2.10m.DNA_494872"	10939	98.18
"32958"	"SCOR.D2.10m.DNA_494881"	10939	97.98
"32979"	"SCOR.D2.10m.DNA_494902"	41856	100
"32984"	"SCOR.D2.10m.DNA_494907"	32070	99.2
"32992"	"SCOR.D2.10m.DNA_494915"	23633	98.75
"32997"	"SCOR.D2.10m.DNA_494920"	10557	95.91
"33038"	"SCOR.D2.10m.DNA_494961"	41856	100
"33046"	"SCOR.D2.10m.DNA_494969"	10557	95.96
"33072"	"SCOR.D2.10m.DNA_494993"	23633	99.58
"33095"	"SCOR.D2.10m.DNA_495015"	10557	95.96
"33096"	"SCOR.D2.10m.DNA_495016"	41856	99.76
"33111"	"SCOR.D2.10m.DNA_495029"	41856	100
"33140"	"SCOR.D2.10m.DNA_495054"	10939	97.88
"33152"	"SCOR.D2.10m.DNA_495064"	23633	99.16
"33201"	"SCOR.D2.10m.DNA_495112"	41856	99.58
"33219"	"SCOR.D2.10m.DNA_495129"	41856	99.05
"33250"	"SCOR.D2.10m.DNA_495159"	10557	95.96
"33285"	"SCOR.D2.10m.DNA_495194"	23633	99.58
"33291"	"SCOR.D2.10m.DNA_495200"	41856	99.58
"33292"	"SCOR.D2.10m.DNA_495201"	23633	98.32
"33309"	"SCOR.D2.10m.DNA_495218"	10557	95.53
"33338"	"SCOR.D2.10m.DNA_495246"	35162	98.41
"33352"	"SCOR.D2.10m.DNA_495260"	10557	95.53
"33371"	"SCOR.D2.10m.DNA_495279"	41856	100
"33389"	"SCOR.D2.10m.DNA_495297"	41856	98.8
"33406"	"SCOR.D2.10m.DNA_495313"	41856	98.12
"33506"	"SCOR.D2.10m.DNA_495409"	10557	95.96
"33518"	"SCOR.D2.10m.DNA_495421"	10939	97.98
"33538"	"SCOR.D2.10m.DNA_495440"	4362	99.79
"33568"	"SCOR.D2.10m.DNA_495471"	41856	100
"33577"	"SCOR.D2.10m.DNA_495480"	23633	98.84
"33584"	"SCOR.D2.10m.DNA_495487"	23633	97.9
"33592"	"SCOR.D2.10m.DNA_495496"	23633	98.95
"33629"	"SCOR.D2.10m.DNA_495533"	27885	98.19
"33646"	"SCOR.D2.10m.DNA_495549"	23633	97.45
"33650"	"SCOR.D2.10m.DNA_495553"	10939	98.38
"33687"	"SCOR.D2.10m.DNA_495589"	10557	95.33
"33703"	"SCOR.D2.10m.DNA_495605"	23633	99.58
"33719"	"SCOR.D2.10m.DNA_495621"	41856	99.79
"33742"	"SCOR.D2.10m.DNA_495643"	23633	98.74
"33759"	"SCOR.D2.10m.DNA_495660"	23633	99.37
"33761"	"SCOR.D2.10m.DNA_495662"	41856	98.38
"33829"	"SCOR.D2.10m.DNA_495727"	41856	99.79
"33831"	"SCOR.D2.10m.DNA_495729"	23633	99.58
"33845"	"SCOR.D2.10m.DNA_495742"	41856	99.58
"33847"	"SCOR.D2.10m.DNA_495744"	2274	98.09
"33856"	"SCOR.D2.10m.DNA_495753"	41856	99.79
"33859"	"SCOR.D2.10m.DNA_495756"	23633	97.91
"33893"	"SCOR.D2.10m.DNA_495789"	41856	99.79
"33897"	"SCOR.D2.10m.DNA_495793"	10939	97.98
"33907"	"SCOR.D2.10m.DNA_495803"	10557	95.96
"33920"	"SCOR.D2.10m.DNA_495815"	10939	98.54
"33926"	"SCOR.D2.10m.DNA_495820"	41856	100
"33937"	"SCOR.D2.10m.DNA_495831"	23633	99.37
"33939"	"SCOR.D2.10m.DNA_495833"	12385	99.59
"33946"	"SCOR.D2.10m.DNA_495840"	41856	99.79
"33954"	"SCOR.D2.10m.DNA_495848"	41856	99.58
"33984"	"SCOR.D2.10m.DNA_495876"	23633	99.37
"34011"	"SCOR.D2.10m.DNA_495901"	41856	99.79
"34052"	"SCOR.D2.10m.DNA_495941"	35162	99.39
"34084"	"SCOR.D2.10m.DNA_495973"	41856	100
"34096"	"SCOR.D2.10m.DNA_495984"	41856	99.79
"34115"	"SCOR.D2.10m.DNA_496003"	41856	98.74
"34130"	"SCOR.D2.10m.DNA_496018"	10557	95.96
"34151"	"SCOR.D2.10m.DNA_496038"	23633	99.37
"34153"	"SCOR.D2.10m.DNA_496040"	41856	99.79
"34158"	"SCOR.D2.10m.DNA_496045"	10939	98.19
"34200"	"SCOR.D2.10m.DNA_496087"	32070	98.77
"34242"	"SCOR.D2.10m.DNA_496129"	23633	98.11
"34248"	"SCOR.D2.10m.DNA_496135"	22164	98.85
"34263"	"SCOR.D2.10m.DNA_496150"	41856	100
"34291"	"SCOR.D2.10m.DNA_496178"	41856	99.37
"34323"	"SCOR.D2.10m.DNA_496210"	23633	98.11
"34355"	"SCOR.D2.10m.DNA_496243"	10939	98.19
"34364"	"SCOR.D2.10m.DNA_496252"	23633	98.95
"34400"	"SCOR.D2.10m.DNA_496289"	10557	95.96
"34414"	"SCOR.D2.10m.DNA_496303"	41856	99.79
"34416"	"SCOR.D2.10m.DNA_496305"	41856	99.55
"34455"	"SCOR.D2.10m.DNA_496343"	23633	98.54
"34541"	"SCOR.D2.10m.DNA_496426"	10557	95.74
"34548"	"SCOR.D2.10m.DNA_496433"	23633	99.07
"34596"	"SCOR.D2.10m.DNA_496481"	27885	98.53
"34606"	"SCOR.D2.10m.DNA_496491"	10939	97.19
"34635"	"SCOR.D2.10m.DNA_496520"	41856	100
"34637"	"SCOR.D2.10m.DNA_496522"	41856	99.37
"34639"	"SCOR.D2.10m.DNA_496524"	23633	96.44
"34640"	"SCOR.D2.10m.DNA_496525"	41856	99.58
"34664"	"SCOR.D2.10m.DNA_496550"	41856	99.77
"34691"	"SCOR.D2.10m.DNA_496576"	41856	99.58
"34701"	"SCOR.D2.10m.DNA_496585"	41856	99.58
"34709"	"SCOR.D2.10m.DNA_496593"	23633	99.58
"34731"	"SCOR.D2.10m.DNA_496615"	23633	98.54
